primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
Faustina: Love and Mercy	2019	107	Biography,Drama,Family	6.4	202
Angel Sign	2019	105	Drama,Romance	5.7	15
Girlfriends Reunited	2020	111	Comedy,Drama	3.5	29
Famous	2021	110	Drama	6.5	81
Vellai Pookal	2019	122	Crime,Drama,Thriller	7.1	1814
Mere Pyare Deshvasiyom	2019	110	Comedy	4.9	13
Dharma Prabhu	2019	147	Drama,Fantasy	4.9	208
Leur souffle	2019	120	Documentary	6.8	17
Cocaine. Gangster. Talk.	2019	183	Crime,Drama	4.7	8
For The Voiceless	2019	119	Documentary	8.3	9
HAM: A Musical Memoir	2020	113	Comedy,Documentary,Musical	8.8	71
Hot Gimmick: Girl Meets Boy	2019	119	Drama	4.4	540
Gunpoint	2021	107	Thriller	3.4	80
Earwig	2021	114	Drama,Fantasy,Horror	5.5	1126
Bhuj: The Pride of India	2021	113	Action,Drama,History	4.2	24693
Guilty	2020	119	Drama,Thriller	5.4	4612
Shadow	2021	115	Drama	6.2	179
Jaddi Sardar	2019	150	Action,Drama,Romance	6.2	51
Epokalipsa	2019	180	Horror	4.6	12
Antebellum	2020	105	Drama,Horror,Mystery	5.8	28373
No Longer Human	2019	120	Biography,Drama,Thriller	5.9	576
Song of Youth	2019	112	Comedy,Drama	6.2	330
Mantan Manten	2019	102	Drama,Romance	7.1	171
Made in Abyss: Journey's Dawn	2019	119	Adventure,Animation,Family	7.4	751
Made in Abyss: Wandering Twilight	2019	110	Adventure,Animation,Fantasy	7.8	895
Made in Abyss: Dawn of the Deep Soul	2020	113	Adventure,Animation,Drama	8.0	4627
As Far as I Know	2020	123	Drama	7.0	332
Last Fool Show	2019	110	Comedy,Romance	7.0	32
Vortex	2019	103	Drama	5.9	115
Liberation	2019	103	Drama,War	6.0	70
The Last Warrior	2021	111	Action,Adventure,Animation	6.1	191
Classic Again	2020	123	Drama,Romance	6.8	210
Manmadhudu 2	2019	155	Comedy,Drama,Romance	4.8	781
We Are Legends	2019	108	Action	5.2	208
Verano no miente	2018	120	Comedy,Romance	6.8	8
Csak még egyszer elöre	2016	120	Drama,History,War	6.7	8
11 Hopes	2018	110	Drama,Sport	5.9	14
The Spy Behind Home Plate	2019	101	Documentary	6.8	113
Liza's Tale	2019	111	Drama	7.0	29
Wild Grass	2020	112	Drama,Romance	4.8	140
Killing Sarai	2019	106	Romance,Thriller	5.9	1176
Sweater	2019	118	Drama	7.2	923
Gujarat 11	2019	140	Drama,Sport	6.1	177
Táo Quây	2019	102	Adventure,Comedy,Fantasy	5.3	10
Gidarh Singhi	2019	120	Comedy	5.6	62
Kobbari Matta	2019	110	Comedy	5.5	881
Maanasi	2019	127	Drama	5.1	16
15 Lakh Kado Aauga	2019	132	Comedy	6.5	48
Evvarikee Cheppoddu	2019	133	Drama	7.1	438
Aaviri	2019	110	Drama,Thriller	3.5	126
Malli Malli Chusa	2019	126	Drama	4.5	21
Tandav	2019	126	Drama	2.1	246
Gangubai Kathiawadi	2022	152	Biography,Crime,Drama	7.8	57904
Bhoot Police	2021	129	Comedy,Horror	6.9	26961
Chandigarh Amritsar Chandigarh	2019	107	Comedy,Drama,Romance	6.1	2379
Pattipulam	2019	103	Comedy	4.9	14
Auerhaus	2019	104	Comedy,Drama,Romance	6.0	142
American Relapse	2018	105	Documentary	7.8	48
Vinara sodara veera kumara	2019	144	Drama,Romance	6.1	109
Vourate Geitonoi	2019	135	Comedy	5.9	111
Scent of My Daughter	2019	103	Drama	5.7	263
Shadowfall	2019	112	Drama	5.1	31
The Exigency	2019	112	Action,Adventure,Animation	6.6	195
KontrAdiksyon	2019	154	Action	4.2	35
Jack & Daniel	2019	156	Action,Thriller	4.6	766
Phalana Abbayi Phalana Ammayi	2023	126	Drama,Family,Romance	5.4	135
Between Two Worlds	2021	106	Drama	6.9	1684
Satria Dewa: Gatotkaca	2022	129	Action,Adventure,Drama	5.3	752
Mr. Hikita, I Am Knocked Up	2019	102	Comedy,Drama,Family	5.2	69
If I Were You	2019	104	Comedy,Drama	7.4	83
The Tragedy of Macbeth	2021	105	Drama,Mystery,Thriller	7.1	36504
Manchurian Tiger	2021	118	Comedy,Drama	5.6	121
Stars Await Us	2020	146	Drama	6.5	14
Home Sweet Home	2021	110	Drama,Mystery,Thriller	5.4	392
The Eleventh Chapter	2019	115	Comedy,Drama	6.9	455
Love Song 1980	2020	127	Drama	8.6	35
Monster Run	2020	104	Action,Drama,Fantasy	5.1	482
Super Me	2019	102	Drama,Fantasy,Mystery	5.8	1798
Roohi	2021	134	Comedy,Horror	4.3	10523
Jesus Revolution	2023	120	Drama	7.2	7186
Omar and Us	2019	104	Drama	5.8	127
Chernobyl: Zona otchuzhdeniya	2019	101	Drama,Mystery,Sci-Fi	5.2	224
William Tecumseh Sherman: Beyond the March to the Sea	2019	115	Documentary	6.9	51
Griekwastad	2019	103	Crime	6.9	109
Patalliro!	2019	103	Action,Adventure,Comedy	6.6	9
Illegal Woman	2020	119	Drama	6.2	217
One Night	2019	123	Drama,Family	6.5	423
Nadhoo Khan	2019	136	Drama	5.0	79
Ti Dete To Deto Te Detat Saglech Detat Shivya	2017	197	Comedy	6.1	8
Undga	2017	123	Drama	8.8	21
Adhyaksha In America	2019	156	Comedy	6.4	73
2 Fingers Honey	2019	101	Comedy	3.9	662
Vremeto e nashe	2018	124	Drama	3.8	13
1978: A Teen Night Out	2019	107	Thriller	4.6	22
Bhetali Tu Punha	2017	146	Romance	8.3	75
Mamu: And a Mother Too	2018	122	Comedy	7.6	57
In a New York Minute	2019	102	Drama	9.0	30
Leaving Neverland: Take Two	2019	109	Documentary	6.7	208
Rock 4	2020	110	Comedy,Music,Musical	4.0	56
Asuang	2018	116	Comedy	5.5	9
Smile Please	2019	132	Drama	7.1	237
Bau Na Vichaar	2019	151	Comedy,Drama	8.9	64
Korea: The Never-Ending War	2019	120	Documentary	7.8	192
A mano disarmata	2019	107	Crime,Drama	6.0	251
You Tell Me	2019	102	Comedy,Drama	6.5	97
For No Reasons: Meetings with Yorgos Maniatis	2019	102	Documentary	7.7	14
I'm Livin' It	2019	114	Drama	6.4	463
Freie Räume	2019	102	Documentary	8.5	11
Roger Waters - Us + Them	2019	135	Documentary,Music	8.2	1281
Thunder Force	2021	106	Action,Adventure,Comedy	4.5	43600
Uriyadi 2	2019	119	Action,Thriller	7.0	926
Chambal	2019	112	Drama	7.3	195
Sur la peau	2019	106	Drama	6.3	7
Incitement	2019	123	Thriller	7.0	781
I Need You Dead!	2020	107	Comedy,Horror	7.5	71
Rampaat	2019	130	Comedy	3.5	116
Gondi	2020	112	Drama	6.6	106
Miss	2020	107	Comedy,Drama	6.4	887
Mother's Child	2020	127	Drama	5.1	1865
About Him or How He Did Not Fear the Bear	2019	112	Drama	7.1	10
A Frenchman	2019	128	Drama,History	6.7	267
Chhalawa	2019	117	Comedy,Drama,Family	2.8	923
Shadows of Sofia	2019	119	Documentary	5.2	309
Up to You	2018	104	Romance	3.6	179
Scare Me	2020	104	Comedy,Horror	5.7	4583
Aatpadi Nights	2019	135	Comedy	8.1	17
Stolen Identity 2	2020	118	Thriller	4.4	170
Reflection	2021	109	Drama,Mystery,Thriller	5.9	33
The Lehman Trilogy	2019	223	Drama	9.0	347
Dragon Quest: Your Story	2019	103	Action,Adventure,Animation	6.5	3000
Rogue City	2020	116	Action,Crime,Drama	6.1	9338
Valley of the Dead	2020	101	Action,Adventure,Fantasy	5.8	4640
Proceder	2019	137	Biography,Music	5.5	753
Zenek	2020	115	Biography,Music	2.6	3234
Sakura	2020	119	Drama,Family	6.3	116
Swayamvada	2019	131	Drama,Thriller	8.5	1145
Special	2019	125	Drama,Thriller	5.8	14
Rakshasudu	2019	122	Action,Crime,Thriller	8.0	1582
Servants of War	2019	110	Crime,Drama,Thriller	5.3	336
1964: O Brasil Entre Armas e Livros	2019	127	Documentary,History	6.9	747
Shoot the Moon	2019	123	Documentary	8.3	30
Zieja	2020	110	Drama	5.8	119
S.O.N.S. (Sons of Nanay Sabel)	2019	106	Comedy	7.1	51
Valiyaperunnal	2019	188	Drama,Thriller	4.8	356
42nd Street: The Musical	2019	155	Musical	7.8	459
Into_nation of Big Odessa	2018	104	Documentary	4.8	21
Odessa	2019	130	Comedy,Romance	6.3	553
Kusumitar Gappo	2019	120	Drama	9.4	5
Tout nous sourit	2020	101	Comedy	5.4	260
My Dog Stupid	2019	106	Comedy	6.2	2148
The Perfect Secret	2019	120	Comedy,Drama,Romance	6.6	6056
On the Edge	2020	115	Drama,Sport	6.4	384
My People, My Country	2019	154	Drama,History	6.3	2050
Homecoming: A Film by Beyoncé	2019	137	Documentary,Music	7.5	7408
The Maid	2020	102	Drama,Horror,Mystery	5.6	1060
Sons of Rizk 2	2019	103	Action,Comedy,Crime	7.1	2549
Jesusa	2019	115	Drama	5.6	7
The 11th Green	2020	108	Drama,History,Sci-Fi	6.3	89
Shazam! Fury of the Gods	2023	130	Action,Adventure,Comedy	6.1	65002
Biju Babu	2019	162	Action	8.0	78
Heer Maan Ja	2019	146	Action,Comedy,Family	4.8	228
My Wonderful Wanda	2020	111	Comedy,Drama	6.4	437
Thalaivi	2021	153	Biography,Drama	5.9	31010
A Minha Avó Trelotótó	2018	174	Biography,Documentary	5.0	8
A Brother's Love	2019	117	Comedy,Drama	6.7	1113
Seneca: On the Creation of Earthquakes	2023	112	Biography,Drama	5.6	199
Cinderella	2021	113	Comedy,Family,Fantasy	4.3	43447
Hello, Love, Goodbye	2019	118	Drama,Romance	7.3	1170
Ratne price sa Kosara	2019	107	Documentary,History,War	9.5	161
Single 2	2019	128	Comedy,Romance	6.2	192
Russ Taff: I Still Believe	2018	104	Documentary	8.4	68
National Theater Live: Cyrano de Bergerac	2019	160	Drama,Romance	8.8	439
Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities	2018	105	Fantasy,Sport	7.7	39
Sneakerella	2022	112	Comedy,Family,Musical	4.8	1742
DOMINO: Battle of the Bones	2021	110	Comedy	3.9	307
Miss & Mrs. Cops	2019	107	Action,Comedy,Crime	6.1	1299
All Quiet on the Western Front	2022	148	Action,Drama,War	7.8	201658
Creating Woodstock	2019	111	Documentary,Music	7.5	92
The Prom	2020	130	Comedy,Drama,Musical	5.9	28162
Khopa	2017	124	Drama	6.4	6
Quest for Steel	2021	130	Fantasy	7.0	5
Direct to Video: Straight to Video Horror of the 90s	2019	106	Documentary,History,Horror	5.4	169
Voices in the Wind	2020	139	Drama	6.9	397
Shadow Parties	2021	116	Action	7.0	11
Bones and All	2022	131	Drama,Horror,Romance	6.8	40358
Sankara Is Not Dead	2019	110	Documentary	6.6	18
E Ee	2017	148	Drama,Romance	6.7	51
Trivikraman	2016	106	Comedy,Horror	5.7	28
Hollywood Dreams & Nightmares: The Robert Englund Story	2022	134	Documentary	8.2	15
Noah	2019	130	Family,History,Musical	5.7	39
Mangoshake	2018	104	Comedy	6.5	16
No Man's Truth	2020	123	Crime,Drama,Mystery	6.8	36
Cypher	2019	130	Biography,Family	8.6	34
The Adopted One	2020	120	Thriller	8.2	9
Loro	2018	151	Biography,Drama	6.7	6515
All About Yves	2019	107	Comedy,Sci-Fi	5.5	621
Daniel Darc, Pieces of My Life	2019	105	Documentary	7.0	34
Kuttymama	2019	134	Comedy,Drama,Family	4.8	127
The Goat Who Climbed to Heaven	2019	112	Documentary	7.2	10
Yaponskiy Bog	2020	110	Drama	5.7	16
A Boy Called Christmas	2021	106	Adventure,Drama,Family	6.7	24401
Lamb of God	2020	114	Drama	7.1	83
Forensic	2020	134	Crime,Mystery,Thriller	6.8	5589
Thamaasha	2019	120	Comedy,Drama	7.7	1243
Take Me to Tarzana	2021	106	Comedy	5.4	442
